Engineering Dreams,Adam Haar Horowitz,Research Assistant
Freedom Is in the Ear of the Beholder,Hane Lee,Research Assistant
Playful Words,Juliana Nazare,Research Assistant
Playful Words,Mina Soltangheis,Research Assistant
Playful Words,Nazmus Saquib,Research Assistant
Playful Words,Preeta Bansal,Research Assistant
Playful Words,Sneha Priscilla Makini,Research Assistant
QuieSense:  Distributed Context-Awareness System for WiFi Enabled Mobile Devices,Ali Shtarbanov,Research Assistant
Play Analytics,Anneli Hershman,Research Assistant
QuieSense:  Distributed Context-Awareness System for WiFi Enabled Mobile Devices,V. Michael Bove,Research Assistant
Play Analytics,Eric Chu,Research Assistant
Play Analytics,Ivan Sysoev,Research Assistant
Play Analytics,Juliana Nazare,Research Assistant
Play Analytics,Mina Soltangheis,Research Assistant
High-Frequency LIDAR Using Beat Notes,Ramesh Raskar,Associate Professor of Media Arts and Sciences
Rumor Gauge: Automatic Detection and Verification of Rumors on Twitter,Deb Roy,Associate Professor of Media Arts and Sciences
The Spread of True and False Information Online,Soroush Vosoughi,Postdoctoral Associate
Eternal,Charles Holbrow,Research Assistant
VR Codes,Andrew Lippman,Senior Research Scientist
High-Frequency LIDAR Using Beat Notes,Achuta Kadambi,Associate Professor of Media Arts and Sciences
Rumor Gauge: Automatic Detection and Verification of Rumors on Twitter,Soroush Vosoughi,Associate Professor of Media Arts and Sciences
The Spread of True and False Information Online,Deb Roy,Postdoctoral Associate
Multi-SPRING,Kristy Johnson,Research Assistant
Tethered Exoskeleton System for Understanding and Augmenting Human Movements,Hugh Herr,Professor of Media Arts and Sciences
Tethered Exoskeleton System for Understanding and Augmenting Human Movements,Michael Nawrot,Professor of Media Arts and Sciences
Tethered Exoskeleton System for Understanding and Augmenting Human Movements,Jiun-Yih Kuan,Professor of Media Arts and Sciences
Tethered Exoskeleton System for Understanding and Augmenting Human Movements,Ken A. Pasch,Professor of Media Arts and Sciences
Cognimates: collaborative creative learning with embodied intelligent agents,Stefania Druga,Research Assistant
Seeing Through Realistic Fog,Guy Satat,Research Assistant
Amoeba Wall: A context-aware wall system,Honghao Deng,Research Scientist
Cognimates: collaborative creative learning with embodied intelligent agents,Cynthia Breazeal,Research Assistant
Seeing Through Realistic Fog,Ramesh Raskar,Research Assistant
Amoeba Wall: A context-aware wall system,Luis Alberto Alonso Pastor,Research Scientist
Amoeba Wall: A context-aware wall system,Poseidon Ho,Research Scientist
The Story Learning Machine,Eric Chu,Research Assistant
The Story Learning Machine,Soroush Vosoughi,Research Assistant
The Story Learning Machine,Deb Roy,Research Assistant
The Story Learning Machine,Prashanth Vijayaraghavan,Research Assistant
The Story Learning Machine,Russell Stevens,Research Assistant
LEGO Wayfinder,Katy Croff Bell,Research Scientist
Emotional Navigation,Javier Hernandez,Research Scientist
LEGO Wayfinder,Avery Normandin,Research Scientist
LEGO Wayfinder,J. Philipp Schmidt,Research Scientist
LEGO Wayfinder,Katherine McConachie,Research Scientist
Emotional Navigation,Rosalind W. Picard,Research Scientist
Onsite Stress Measurement,Rosalind W. Picard,Professor of Media Arts and Sciences
Onsite Stress Measurement,Javier Hernandez,Professor of Media Arts and Sciences
Onsite Stress Measurement,Szymon Fedor,Professor of Media Arts and Sciences
Spaces That Perform Themselves,Nicole L'Huillier,Research Assistant
Onsite Stress Measurement,Robert R. Morris,Professor of Media Arts and Sciences
4K/8K Comics,V. Michael Bove,Principal Research Scientist
4K/8K Comics,Daniel Novy,Principal Research Scientist
A-pops,Guillermo Bernal, Research Assistant
A-pops,Jennifer Groff, Research Assistant
A-pops,Mina Soltangheis, Research Assistant
A-pops,Thomas Sanchez Lengeling, Research Assistant
Media Lab Virtual Visit,J. Philipp Schmidt,Research Scientist
Family Creative Learning,Mitchel Resnick,LEGO Papert Professor of Learning Research
Media Lab Virtual Visit,Katherine McConachie,Research Scientist
Media Lab Virtual Visit,Srishti Sethi,Research Scientist
Family Creative Learning,Natalie Rusk,LEGO Papert Professor of Learning Research
Family Creative Learning,Ricarose Roque,LEGO Papert Professor of Learning Research
The LearningGraph,Jennifer Groff,Research Assistant
ModeSense,Ali Shtarbanov,Research Assistant
ModeSense,V. Michael Bove,Research Assistant
MedRec,Agnes Cameron,Research Assistant
Gobo,Yasmine (Jasmin) Rubinovitz,Research Assistant
MedRec,Kallirroi Retzepi,Research Assistant
MedRec,Nchinda Nchinda,Research Assistant
Gobo,Alexis Hope,Research Assistant
Gobo,Ethan Zuckerman,Research Assistant
Gobo,Rahul Bhargava,Research Assistant
Metafluidics,Nina Wang,"Director, Community Biotechnology Initiative"
Metafluidics,David S. Kong,"Director, Community Biotechnology Initiative"
The Blank Canvas,Adam Haar Horowitz,Research Assistant
Emotion/wellbeing x skincare cosmetics,Akane Sano,Research Affiliate
Building smart contracts with Bitcoin,Joseph Chung,"Alumnus, Opera of the Future"
Building smart contracts with Bitcoin,Neha Narula,"Alumnus, Opera of the Future"
Building smart contracts with Bitcoin,Alin Dragos,"Alumnus, Opera of the Future"
Building smart contracts with Bitcoin,Thaddeus Dryja,"Alumnus, Opera of the Future"
Agent-based Programming Interfaces for Children,Tina Quach,Research Scientist
Agent-based Programming Interfaces for Children,Andrew Sliwinski,Research Scientist
QuantifyMe,Rosalind W. Picard,Professor of Media Arts and Sciences
Objective Asessment of Depression and its Improvement,Rosalind W. Picard,Professor of Media Arts and Sciences
QuantifyMe,Akane Sano,Professor of Media Arts and Sciences
QuantifyMe,Akshay Mohan,Professor of Media Arts and Sciences
QuantifyMe,Craig Ferguson,Professor of Media Arts and Sciences
QuantifyMe,Sara Taylor,Professor of Media Arts and Sciences
Objective Asessment of Depression and its Improvement,Szymon Fedor,Professor of Media Arts and Sciences
Participatory Biotechnology,David S. Kong,"Director, Community Biotechnology Initiative"
Wheels of Poseidon,Daniel Novy,Research Assistant
Real-Time Assessment of Suicidal Thoughts and Behaviors,Rosalind W. Picard,Professor of Media Arts and Sciences
Participatory Biotechnology,Nicole Bakker,"Director, Community Biotechnology Initiative"
Wheels of Poseidon,Rachel Smith,Research Assistant
Wheels of Poseidon,Daniel Oran,Research Assistant
Real-Time Assessment of Suicidal Thoughts and Behaviors,Szymon Fedor,Professor of Media Arts and Sciences
Ethics of Autonomous Vehicles,Iyad Rahwan,Associate Professor of Media Arts and Sciences
Ethics of Autonomous Vehicles,Edmond Awad,Associate Professor of Media Arts and Sciences
Ethics of Autonomous Vehicles,Sohan Dsouza,Associate Professor of Media Arts and Sciences
Ocean Cultures,Avery Normandin,Research Assistant
Ocean Cultures,Devora Najjar,Research Assistant
Andorra | Tourism,Ronan Doorley,Postdoctoral Associate
Andorra | Tourism,Arnaud Grignard,Postdoctoral Associate
Andorra | Tourism,Juanita Devis,Postdoctoral Associate
Andorra | Tourism,Nina Lutz,Postdoctoral Associate
Andorra | Tourism,Ariel Noyman,Postdoctoral Associate
Connected Coral,Katy Croff Bell,Research Scientist
Cognitarium 2.0,Alexandra Rieger,Research Assistant
Gamma Instrument,Alexandra Rieger,Research Assistant
Andorra | Tourism,Luis Alberto Alonso Pastor,Postdoctoral Associate
Andorra | Tourism,J. Ira Winder,Postdoctoral Associate
Connected Coral,Emily Salvador,Research Scientist
Connected Coral,Nina Lutz,Research Scientist
Andorra | Tourism,Kent Larson,Postdoctoral Associate
KinderCity,Laya Anasu,Research Assistant
Deep Urban Interaction,Yan Zhang,Research Assistant
SpeechBlocks,Anneli Hershman,Research Assistant
SpeechBlocks,Ivan Sysoev,Research Assistant
SpeechBlocks,Juliana Nazare,Research Assistant
SpeechBlocks,Sneha Priscilla Makini,Research Assistant
City Science Lab Shanghai,Kent Larson,Principal Research Scientist
City Science Lab Shanghai,Yan Zhang,Principal Research Scientist
City Science Lab Shanghai,Luis Alberto Alonso Pastor,Principal Research Scientist
City Science Lab Shanghai,Ronan Doorley,Principal Research Scientist
City Science Lab Shanghai,Michael Lin,Principal Research Scientist
City Science Lab Shanghai,Arnaud Grignard,Principal Research Scientist
City Science Lab Shanghai,Ariel Noyman,Principal Research Scientist
City Science Lab Shanghai,Yasushi Sakai,Principal Research Scientist
CityScope Riyadh,J. Ira Winder,Research Scientist
City Science Lab Shanghai,Margaret Church,Principal Research Scientist
City Science Lab Shanghai,Phil Tinn,Principal Research Scientist
CityScope Riyadh,Mohammad Hadhrawi,Research Scientist
CityScope Riyadh,Kent Larson,Research Scientist
The Observatory of Economic Complexity (OEC),Cesar A. Hidalgo,Associate Professor of Media Arts and Sciences
Singapore Pedestrian Accessibility,Nina Lutz,Research Scientist
Singapore Pedestrian Accessibility,J. Ira Winder,Research Scientist
Singapore Pedestrian Accessibility,Kent Larson,Research Scientist
SeeBoat (Thermal Fishing Bob): In-Place Environmental Data Visualization,V. Michael Bove,Principal Research Scientist
Receptive Skins: The Breathing Wall,Chrisoula Kapelonis,Research Assistant
SeeBoat (Thermal Fishing Bob): In-Place Environmental Data Visualization,Laura Perovich,Principal Research Scientist
Receptive Skins: The Breathing Wall,Kent Larson,Research Assistant
Scratch Memories,Shruti Dhariwal,Research Assistant
Flexible piezoelectric devices for gastrointestinal motility sensing,Zijun Wei,Research Assistant
Egg Shell Carving,Rebecca Kleinberger,Research Assistant
Flexible piezoelectric devices for gastrointestinal motility sensing,Canan Dagdeviren,Research Assistant
DIVE,Kevin Zeng Hu,Research Assistant
SNAPSHOT Study,Akane Sano,Research Affiliate
Participie,Sanjay Guruprasad,Research Assistant
DIVE,Cesar A. Hidalgo,Research Assistant
SNAPSHOT Study,Sara Taylor,Research Affiliate
SNAPSHOT Study,Rosalind W. Picard,Research Affiliate
SNAPSHOT Study,Ehi Nosakhare,Research Affiliate
SNAPSHOT Study,Terumi Umematsu,Research Affiliate
SNAPSHOT Study,Natasha Jaques,Research Affiliate
SNAPSHOT Study,Daniel Lopez Martinez,Research Affiliate
SNAPSHOT Study,Asma Ghandeharioun,Research Affiliate
SNAPSHOT Study,Weixuan 'Vincent' Chen,Research Affiliate
SNAPSHOT Study,Ognjen (Oggi) Rudovic,Research Affiliate
Personalized  Interaction for Language Learning,Huili Chen,Research Assistant
SNAPSHOT Study,Fengjiao Peng,Research Affiliate
Personalized  Interaction for Language Learning,Samuel Spaulding,Research Assistant
Personalized  Interaction for Language Learning,Hae Won Park,Research Assistant
Personalized  Interaction for Language Learning,Cynthia Breazeal,Research Assistant
Smart Communal Spaces,Chrisoula Kapelonis,Research Assistant
Mission Wildlife,Ethan Zuckerman,Associate Professor of the Practice in Media Arts and Sciences
AttentivU,Nataliya Kos'myna,Postdoctoral Fellow
Smart Communal Spaces,Poseidon Ho,Research Assistant
Mission Wildlife,Poseidon Ho,Associate Professor of the Practice in Media Arts and Sciences
AttentivU,Pattie Maes,Postdoctoral Fellow
Mission Wildlife,Gabriel Miller,Associate Professor of the Practice in Media Arts and Sciences
Instrumentation of Montessori Learning Materials,Nazmus Saquib,Research Assistant
OpenScope,Ethan Zuckerman,Associate Professor of the Practice in Media Arts and Sciences
OpenScope,Emilie Reiser,Associate Professor of the Practice in Media Arts and Sciences
OpenScope,Nickolaos Savidis,Associate Professor of the Practice in Media Arts and Sciences
OpenScope,Poseidon Ho,Associate Professor of the Practice in Media Arts and Sciences
AirTap,Ali Shtarbanov,Research Assistant
AirTap,V. Michael Bove,Research Assistant
Slam Force Net,V. Michael Bove,Principal Research Scientist
CityScope Volpe,Yan Zhang,Research Assistant
LineFORM,Hiroshi Ishii,Jerome B. Wiesner Professor of Media Arts and Sciences
Slam Force Net,Daniel Novy,Principal Research Scientist
CityScope Volpe,Luis Alberto Alonso Pastor,Research Assistant
CityScope Volpe,Ariel Noyman,Research Assistant
CityScope Volpe,Arnaud Grignard,Research Assistant
LineFORM,Ken Nakagaki,Jerome B. Wiesner Professor of Media Arts and Sciences
bioLogic—Science Advances,Wen Wang,Research Scientist
Torque,Michael Lin,Research Assistant
bioLogic—Science Advances,Lining Yao,Research Scientist
bioLogic—Science Advances,Chin-Yi Cheng,Research Scientist
bioLogic—Science Advances,Guanyun Wang,Research Scientist
bioLogic—Science Advances,Oksana Anilionyte,Research Scientist
bioLogic—Science Advances,Helene Steiner,Research Scientist
bioLogic—Science Advances,Jifei Ou,Research Scientist
Torque,Phil Tinn,Research Assistant
Torque,Chang-Qi Zhang,Research Assistant
Torque,Yi-Cheng Jiang,Research Assistant
ChainFORM,Ken Nakagaki,Research Assistant
bioLogic—Science Advances,Hiroshi Ishii,Research Scientist
ChainFORM,Artem Dementyev,Research Assistant
ChainFORM,Joseph A. Paradiso,Research Assistant
ChainFORM,Hiroshi Ishii,Research Assistant
BoxLab,Kent Larson,Principal Research Scientist
RePlace,Kent Larson,Principal Research Scientist
Escape Pod,Kent Larson,Principal Research Scientist
RePlace,Carson Smuts,Principal Research Scientist
Escape Pod,Carson Smuts,Principal Research Scientist
Escape Pod,Lucas Cassiano Pereira Silva,Principal Research Scientist
Escape Pod,Chrisoula Kapelonis,Principal Research Scientist
Escape Pod,Nina Lutz,Principal Research Scientist
Memento,Kent Larson,Principal Research Scientist
Kinetix,Jifei Ou,Research Assistant
Low-Power Wireless Environmental Sensor Node,Joseph A. Paradiso,Alexander W Dreyfoos (1954) Professor
Memento,Stephen S. Intille,Principal Research Scientist
Kinetix,Hiroshi Ishii,Research Assistant
Kinetix,Jannik Peters,Research Assistant
Low-Power Wireless Environmental Sensor Node,Brian Mayton,Alexander W Dreyfoos (1954) Professor
Detecting Biomarkers with Printable Paper Diagnostics,Pratik Shah,Research Scientist
Artificial Intelligence for Drug Discovery and Clinical Trials,Gregory Yauney,Technical Associate
Artificial Intelligence for Drug Discovery and Clinical Trials,Pratik Shah,Technical Associate
City Science Lab Hamburg,Kent Larson,Principal Research Scientist
Non-Ionizing Imaging for Medical Diagnosis Instead of 2D Radiography and Cone-Beam Computed Tomography,Guy Satat,Research Assistant
City Science Lab Hamburg,Ariel Noyman,Principal Research Scientist
Non-Ionizing Imaging for Medical Diagnosis Instead of 2D Radiography and Cone-Beam Computed Tomography,Keith Angelino,Research Assistant
Non-Ionizing Imaging for Medical Diagnosis Instead of 2D Radiography and Cone-Beam Computed Tomography,Gregory Yauney,Research Assistant
Non-Ionizing Imaging for Medical Diagnosis Instead of 2D Radiography and Cone-Beam Computed Tomography,Pratik Shah,Research Assistant
Near-Infrared Transillumination Guides Administration of Dental 2D Radiography and Cone Beam Computed Tomography Imaging,Keith Angelino,Technical Associate
Public Library Innovation Exchange,Helen Bailey,Affiliate
SMART^2 OPAL,Haijing Hao,Visiting Scholar
Biomarker Imaging with Mobile Phones,Keith Angelino,Technical Associate
Near-Infrared Transillumination Guides Administration of Dental 2D Radiography and Cone Beam Computed Tomography Imaging,Gaurav Bhatia,Technical Associate
Near-Infrared Transillumination Guides Administration of Dental 2D Radiography and Cone Beam Computed Tomography Imaging,Pratik Shah,Technical Associate
Climate CubeSat Co-building Outreach Program (C3),Ariel Ekblaw,Research Assistant
Public Library Innovation Exchange,Katherine McConachie,Affiliate
Public Library Innovation Exchange,J. Philipp Schmidt,Affiliate
SMART^2 OPAL,Shada Alsalamah,Visiting Scholar
SMART^2 OPAL,Abdulrahman Alotaibi,Visiting Scholar
SMART^2 OPAL,Jose Balsa Barreiro,Visiting Scholar
SMART^2 OPAL,Alex 'Sandy' Pentland,Visiting Scholar
Biomarker Imaging with Mobile Phones,Gregory Yauney,Technical Associate
Climate CubeSat Co-building Outreach Program (C3),Katherine McConachie,Research Assistant
Climate CubeSat Co-building Outreach Program (C3),Avery Normandin,Research Assistant
Climate CubeSat Co-building Outreach Program (C3),Devora Najjar,Research Assistant
Biomarker Imaging with Mobile Phones,Pratik Shah,Technical Associate
PhysioHMD,Pattie Maes,Professor of Media Technology
Spatial Flux: Body and Architecture in Space,Carson Smuts,Research Scientist
Andorra | Innovation,Kent Larson,Principal Research Scientist
City Science Andorra,Kent Larson,Principal Research Scientist
PhysioHMD,Guillermo Bernal,Professor of Media Technology
PhysioHMD,Tao Yang,Professor of Media Technology
Spatial Flux: Body and Architecture in Space,Chrisoula Kapelonis,Research Scientist
Andorra | Innovation,Luis Alberto Alonso Pastor,Principal Research Scientist
Andorra | Innovation,Arnaud Grignard,Principal Research Scientist
Andorra | Innovation,Ronan Doorley,Principal Research Scientist
Andorra | Innovation,Carson Smuts,Principal Research Scientist
Designing Robots in Mixed Reality,Vik Parthiban,Research Assistant
City Science Andorra,Luis Alberto Alonso Pastor,Principal Research Scientist
City Science Andorra,Michael Lin,Principal Research Scientist
City Science Andorra,Arnaud Grignard,Principal Research Scientist
City Science Andorra,Juanita Devis,Principal Research Scientist
Andorra | Innovation,Juanita Devis,Principal Research Scientist
Andorra | Innovation,Ariel Noyman,Principal Research Scientist
City Science Andorra,Carson Smuts,Principal Research Scientist
City Science Andorra,Ronan Doorley,Principal Research Scientist
City Science Andorra,Yan Zhang,Principal Research Scientist
City Science Andorra,Ariel Noyman,Principal Research Scientist
City Science Andorra,Phil Tinn,Principal Research Scientist
CityMatrix,Yan Zhang,Research Assistant
City Science Lab Toronto,Hossein Rahnama,Visiting Assistant Professor
CityMatrix,Kent Larson,Research Assistant
CityMatrix,Arnaud Grignard,Research Assistant
CityMatrix,Luis Alberto Alonso Pastor,Research Assistant
WorldBeat: Hearing the World Differently,Asma Ghandeharioun,Research Assistant
WorldBeat: Hearing the World Differently,Rosalind W. Picard,Research Assistant
Dormio: Interfacing with Dreams to Augment Human Creativity,Adam Haar Horowitz,Research Assistant
Dormio: Interfacing with Dreams to Augment Human Creativity,Ishaan Grover,Research Assistant
Dormio: Interfacing with Dreams to Augment Human Creativity,Pedro Reynolds-Cuellar,Research Assistant
Dormio: Interfacing with Dreams to Augment Human Creativity,Tomas Vega Galvez,Research Assistant
Dormio: Interfacing with Dreams to Augment Human Creativity,Oscar Rosello,Research Assistant
Masque,Xin Liu,"Arts Curator, Space Exploration Initiative (External Collaborator)"
Words in Motion,Pattie Maes,Professor of Media Technology
Silk Pavilion,Neri Oxman,Associate Professor of Media Arts and Sciences
Masque,Pattie Maes,"Arts Curator, Space Exploration Initiative (External Collaborator)"
Words in Motion,Christian David Vazquez Machado,Professor of Media Technology
Dynamic Traffic Prediction in Andorra: a Bayesian Network Approach,Ronan Doorley,Postdoctoral Associate
Silk Pavilion,Jared Laucks,Associate Professor of Media Arts and Sciences
Dynamic Traffic Prediction in Andorra: a Bayesian Network Approach,Kent Larson,Postdoctoral Associate
Dynamic Traffic Prediction in Andorra: a Bayesian Network Approach,Arnaud Grignard,Postdoctoral Associate
Dynamic Traffic Prediction in Andorra: a Bayesian Network Approach,Luis Alberto Alonso Pastor,Postdoctoral Associate
Silk Pavilion,Markus Kayser,Associate Professor of Media Arts and Sciences
Silk Pavilion,Jorge Duro-Royo,Associate Professor of Media Arts and Sciences
Personalized Machine Learning for Autism Therapy,Ognjen (Oggi) Rudovic,Postdoctoral Fellow
Personalized Machine Learning for Autism Therapy,Rosalind W. Picard,Postdoctoral Fellow
Mechatronic Systems,Matthew Carney,Research Assistant
Mechatronic Systems,Emily Rogers ,Research Assistant
Mechatronic Systems,Jiun-Yih Kuan,Research Assistant
Mechatronic Systems,Roman Stolyarov,Research Assistant
Mechatronic Systems,Seong Ho Yeon,Research Assistant
Mediated Atmosphere,Joseph A. Paradiso,Alexander W Dreyfoos (1954) Professor
Mechatronic Systems,Ken A. Pasch,Research Assistant
Mechatronic Systems,Tony Shu,Research Assistant
Mechatronic Systems,Matt Weber,Research Assistant
Talking Machines: Democratizing the design of voice-based agents for the home,Anastasia Ostrowski,Administrative Assistant
Mediated Atmosphere,Nan Zhao,Alexander W Dreyfoos (1954) Professor
Mediated Atmosphere,Asaph Azaria,Alexander W Dreyfoos (1954) Professor
Mediated Atmosphere,Robert Richer,Alexander W Dreyfoos (1954) Professor
"Future of Work: Automation,  Labor & Cities",Manuel Cebrian,Research Scientist
Human-Machine Cooperation (HMC) for Lightweight Autonomous Robots,Michael Lin,Research Assistant
DeepMoji,Iyad Rahwan,Associate Professor of Media Arts and Sciences
Talking Machines: Democratizing the design of voice-based agents for the home,Nikhita Singh,Administrative Assistant
Talking Machines: Democratizing the design of voice-based agents for the home,Hae Won Park,Administrative Assistant
Talking Machines: Democratizing the design of voice-based agents for the home,Cynthia Breazeal,Administrative Assistant
"Future of Work: Automation,  Labor & Cities",Morgan Ryan Frank,Research Scientist
"Future of Work: Automation,  Labor & Cities",Iyad Rahwan,Research Scientist
"Future of Work: Automation,  Labor & Cities",Alex Rutherford,Research Scientist
"Future of Work: Automation,  Labor & Cities",Esteban Moro Egido,Research Scientist
Human-Machine Cooperation (HMC) for Lightweight Autonomous Robots,Phil Tinn,Research Assistant
Human-Machine Cooperation (HMC) for Lightweight Autonomous Robots,Yago Lizaribar Carrillo,Research Assistant
Human-Machine Cooperation (HMC) for Lightweight Autonomous Robots,Lucas Cassiano Pereira Silva,Research Assistant
Human-Machine Cooperation (HMC) for Lightweight Autonomous Robots,Jerry Wei Hua Yao,Research Assistant
DeepMoji,Bjarke Felbo,Associate Professor of Media Arts and Sciences
DeepMoji,Nick Obradovich,Associate Professor of Media Arts and Sciences
"Miniaturized Neural System for Chronic, Local Intracerebral Drug Delivery",Canan Dagdeviren,Assistant Professor of Media Arts and Sciences
Tools to Investigate Societal Impacts of Robot and AI,Anastasia Ostrowski,Administrative Assistant
Human-Machine Cooperation (HMC) for Lightweight Autonomous Robots,Chang-Qi Zhang,Research Assistant
Human-Machine Cooperation (HMC) for Lightweight Autonomous Robots,Yi-Cheng Jiang,Research Assistant
Tools to Investigate Societal Impacts of Robot and AI,Hae Won Park,Administrative Assistant
Tools to Investigate Societal Impacts of Robot and AI,Cynthia Breazeal,Administrative Assistant
Atmopragmascope,Everett Lawson,Research Assistant
Persuasive Electric Vehicle (PEV),Abhishek Agarwal,Research Assistant
Persuasive Electric Vehicle (PEV),Yi-Cheng Jiang,Research Assistant
Persuasive Electric Vehicle (PEV),Tai-Yu Chen,Research Assistant
Large User Interface with Gesture and Voice Feedback,Vik Parthiban,Research Assistant
Persuasive Electric Vehicle (PEV),Inigo Martinez Lopez,Research Assistant
Persuasive Electric Vehicle (PEV),Chang-Qi Zhang,Research Assistant
Persuasive Electric Vehicle (PEV),Kent Larson,Research Assistant
Persuasive Electric Vehicle (PEV),Michael Lin,Research Assistant
Persuasive Electric Vehicle (PEV),Phil Tinn,Research Assistant
Civic Entertainment,Anushka Shah,"Researcher/Community Manager, Media Cloud"
Civic Entertainment,Ethan Zuckerman,"Researcher/Community Manager, Media Cloud"
Learning to dance  in VR,Misha Sra,Research Affiliate
City Science Network,Kent Larson,Principal Research Scientist
City Science Network,Ronan Doorley,Principal Research Scientist
City Science Network,Phil Tinn,Principal Research Scientist
City Science Network,Yasushi Sakai,Principal Research Scientist
City Science Network,Arnaud Grignard,Principal Research Scientist
BreathVR,Misha Sra,Research Affiliate
City Science Network,Luis Alberto Alonso Pastor,Principal Research Scientist
City Science Network,Margaret Church,Principal Research Scientist
City Science Network,Yan Zhang,Principal Research Scientist
City Science Network,Ariel Noyman,Principal Research Scientist
City Science Network,Michael Lin,Principal Research Scientist
City Science Network,Mary Heckbert,Principal Research Scientist
BreathVR,Pattie Maes,Research Affiliate
BreathVR,Xuhai Xu,Research Affiliate
A VR Collaboration Interface Using Galvanic Vestibular Stimulation,Misha Sra,Research Affiliate
A VR Collaboration Interface Using Galvanic Vestibular Stimulation,Xuhai Xu,Research Affiliate
A VR Collaboration Interface Using Galvanic Vestibular Stimulation,Pattie Maes,Research Affiliate
Blockchain: A New Framework for Robotic Swarm Systems,Alex 'Sandy' Pentland,Professor of Media Arts and Sciences
Preschool-Oriented Programming Toolkit,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Personalized Machine Learning for Future Health,Ognjen (Oggi) Rudovic,Postdoctoral Fellow
Council on Extended Intelligence,Joi Ito,Director
Blockchain: A New Framework for Robotic Swarm Systems,Eduardo Castello Ferrer,Professor of Media Arts and Sciences
Cosmetic Light,Nina Lutz,Research Assistant
Preschool-Oriented Programming Toolkit,Randi Williams,Associate Professor of Media Arts and Sciences
Personalized Machine Learning for Future Health,Rosalind W. Picard,Postdoctoral Fellow
Council on Extended Intelligence,Tenzin Priyadarshi,Director
Council on Extended Intelligence,Danielle Wood,Director
Council on Extended Intelligence,Martha Minow,Director
Council on Extended Intelligence,Kade Crockford,Director
Council on Extended Intelligence,Lawrence Lessig,Director
Council on Extended Intelligence,Natalie Saltiel,Director
Council on Extended Intelligence,Neri Oxman,Director
Council on Extended Intelligence,Rosalind W. Picard,Director
Council on Extended Intelligence,Karthik Dinakar,Director
Council on Extended Intelligence,Chelsea Barabas,Director
Cosmetic Light,Vik Parthiban,Research Assistant
Agonist-antagonist Myoneural Interface (AMI),Hugh Herr,Professor of Media Arts and Sciences
Council on Extended Intelligence,Joy Buolamwini,Director
Council on Extended Intelligence,Cesar A. Hidalgo,Director
Council on Extended Intelligence,Iyad Rahwan,Director
Council on Extended Intelligence,Andre Uhl,Director
Agonist-antagonist Myoneural Interface (AMI),Tyler Clites,Professor of Media Arts and Sciences
Agonist-antagonist Myoneural Interface (AMI),Matthew Carty,Professor of Media Arts and Sciences
Agonist-antagonist Myoneural Interface (AMI),Shriya Srinivasan,Professor of Media Arts and Sciences
Agonist-antagonist Myoneural Interface (AMI),Lisa Freed,Professor of Media Arts and Sciences
Biplanar Fluoroscopy Gait Analysis,David Hill,Research Assistant
"City as Classroom, City as Laboratory",Avery Normandin,Research Assistant
Biplanar Fluoroscopy Gait Analysis,Kevin Mattheus Moerman,Research Assistant
Biplanar Fluoroscopy Gait Analysis,Dana Solav,Research Assistant
"City as Classroom, City as Laboratory",Devora Najjar,Research Assistant
Biplanar Fluoroscopy Gait Analysis,Hugh Herr,Research Assistant
3D Neuromuscular Model of the Human Ankle-Foot Complex,David Hill,Research Assistant
Effect of a Powered Ankle on Shock Absorption and Interfacial Pressure,David Hill,Research Assistant
3D Neuromuscular Model of the Human Ankle-Foot Complex,Hugh Herr,Research Assistant
Effect of a Powered Ankle on Shock Absorption and Interfacial Pressure,Hugh Herr,Research Assistant
Cognitive Illusions and VR,Misha Sra,Research Affiliate
TESSERAE: Self-Assembling Space Architecture,Ariel Ekblaw,Research Assistant
Amphibian: Terrestrial SCUBA Diving Simulator Using Virtual Reality,Dhruv Jain,Research Assistant
Amphibian: Terrestrial SCUBA Diving Simulator Using Virtual Reality,Chris Schmandt,Research Assistant
HyperCubes: Learning computational concepts in Augmented Reality,Anna Fuste,Research Assistant
Theme   |   Mobility On-Demand,Abhishek Agarwal,Research Assistant
Theme   |   Mobility On-Demand,Kent Larson,Research Assistant
Theme   |   Mobility On-Demand,Michael Lin,Research Assistant
Theme   |   Mobility On-Demand,Phil Tinn,Research Assistant
Theme   |   Mobility On-Demand,Jerry Wei Hua Yao,Research Assistant
Theme   |   Mobility On-Demand,Lucas Cassiano Pereira Silva,Research Assistant
Theme   |   Mobility On-Demand,Yago Lizaribar Carrillo,Research Assistant
Theme   |   Mobility On-Demand,Chang-Qi Zhang,Research Assistant
Self-learning AI model learns from patient data to design novel clinical trials,Pratik Shah,Research Scientist
Mnemo,Neo (Mostafa) Mohsenvand,Research Assistant
Measuring and Reducing Social Segregation in Cities,Xiaowen Dong,Research Affiliate
Machine Learning and Automated Segmentation of Oral Diseases Using Biomarker Images,Aman Rana,Senior Research Support Associate
Identifying the Human Impacts of Climate Change,Nick Obradovich,Research Scientist
Theme   |   Mobility On-Demand,Tai-Yu Chen,Research Assistant
Theme   |   Mobility On-Demand,Yi-Cheng Jiang,Research Assistant
Self-learning AI model learns from patient data to design novel clinical trials,Gregory Yauney,Research Scientist
Deep Angel: The AI behind the aesthetics of absence,Abhimanyu Dubey,Research Assistant
Measuring and Reducing Social Segregation in Cities,Dan Calacci,Research Affiliate
